model,benchmark,affine_ece_lo,affine_ece,affine_ece_hi,mxfp4_ece_lo,mxfp4_ece,mxfp4_ece_hi,differs
llama3.2-3b,arc_challenge,0.07738907769247891,0.0962488890886307,0.1251316385872662,0.07696978024020791,0.09679805970191954,0.12374440205320716,False
llama3.2-3b,mmlu,0.14146945521235468,0.16799416711926463,0.19663849387615923,0.15907876797169448,0.18573603025078772,0.21564089550077914,False
qwen2.5-1.5b,arc_challenge,0.13022013929262757,0.15458534958958625,0.17934883790984754,0.15305065680891275,0.17902812749147412,0.20621399467960003,False
qwen2.5-1.5b,mmlu,0.18732068847045308,0.2151458152830601,0.24400070691108702,0.2530506146319211,0.28180938833951946,0.31278669699057937,True
qwen2.5-3b,arc_challenge,0.11766444613784552,0.13996956041455266,0.16178958471491936,0.13016210706457498,0.1523201647698879,0.17571390742957588,False
qwen2.5-3b,mmlu,0.2400584861420095,0.26883237391710285,0.29687768275588755,0.21290583673492072,0.24240111482143406,0.2700331202052534,False
